Bronze,Country,Gold,Rank,Silver,Total,year
29,United States,46,1,28,103,2012
23,China,38,2,27,88,2012
32,Russia,24,3,26,82,2012
19,Great Britain,29,4,17,65,2012
14,Germany,11,5,19,44,2012
17,Japan,7,6,14,38,2012
13,France,11,7,11,35,2012
12,Australia,7,8,16,35,2012
7,South Korea,13,9,8,28,2012
11,Italy,8,10,9,28,2012
8,Netherlands,6,11,6,20,2012
9,Ukraine,6,12,5,20,2012
6,Hungary,8,13,4,18,2012
12,Canada,1,14,5,18,2012
4,Spain,3,15,10,17,2012
9,Brazil,3,16,5,17,2012
6,Cuba,5,17,3,14,2012
5,Kazakhstan,7,18,1,13,2012
5,New Zealand,6,19,2,13,2012
3,Iran,4,20,5,12,2012
4,Jamaica,4,21,4,12,2012
5,Belarus,2,22,5,12,2012
5,Kenya,2,23,4,11,2012
3,Czech Republic,4,24,3,10,2012
6,Azerbaijan,2,25,2,10,2012
6,Poland,2,26,2,10,2012
2,Romania,2,27,5,9,2012
3,Denmark,2,28,4,9,2012
3,Sweden,1,29,4,8,2012
4,Colombia,1,30,3,8,2012
3,Ethiopia,3,31,1,7,2012
3,Mexico,1,32,3,7,2012
3,Georgia,1,33,3,7,2012
2,North Korea,4,34,0,6,2012
1,South Africa,3,35,2,6,2012
2,Croatia,3,36,1,6,2012
4,India,0,37,2,6,2012
1,Turkey,2,38,2,5,2012
2,Lithuania,2,39,1,5,2012
3,Ireland,1,40,1,5,2012
3,Mongolia,0,41,2,5,2012
0,Switzerland,2,42,2,4,2012
1,Norway,2,43,1,4,2012
2,Slovenia,1,44,1,4,2012
2,Argentina,1,45,1,4,2012
2,Serbia,1,46,1,4,2012
2,Trinidad and Tobago,1,47,1,4,2012
3,Slovakia,0,48,1,4,2012
1,Tunisia,1,49,1,3,2012
2,Uzbekistan,1,50,0,3,2012
1,Thailand,0,51,2,3,2012
2,Belgium,0,52,1,3,2012
2,Armenia,0,53,1,3,2012
2,Finland,0,54,1,3,2012
0,Dominican Republic,1,55,1,2,2012
1,Latvia,1,56,0,2,2012
0,Egypt,0,57,2,2,2012
1,Chinese Taipei,0,58,1,2,2012
1,Indonesia,0,59,1,2,2012
1,Puerto Rico,0,60,1,2,2012
1,Estonia,0,61,1,2,2012
1,Bulgaria,0,62,1,2,2012
1,Malaysia,0,63,1,2,2012
2,Greece,0,64,0,2,2012
2,Singapore,0,65,0,2,2012
2,Moldova,0,66,0,2,2012
2,Qatar,0,67,0,2,2012
0,Grenada,1,68,0,1,2012
0,Algeria,1,69,0,1,2012
0,Uganda,1,70,0,1,2012
0,Bahamas,1,71,0,1,2012
0,Venezuela,1,72,0,1,2012
0,Guatemala,0,73,1,1,2012
0,Botswana,0,74,1,1,2012
0,Portugal,0,75,1,1,2012
0,Montenegro,0,76,1,1,2012
0,Cyprus,0,77,1,1,2012
0,Gabon,0,78,1,1,2012
1,Saudi Arabia,0,79,0,1,2012
1,Kuwait,0,80,0,1,2012
1,Afghanistan,0,81,0,1,2012
1,Morocco,0,82,0,1,2012
1,Bahrain,0,83,0,1,2012
1,Tajikistan,0,84,0,1,2012
1,Hong Kong,0,85,0,1,2012
36,United States,36,1,38,110,2008
28,China,51,2,21,100,2008
29,Russia,23,3,21,73,2008
15,Great Britain,19,4,13,47,2008
17,Australia,14,5,15,46,2008
15,Germany,16,6,10,41,2008
18,France,7,7,16,41,2008
8,South Korea,13,8,10,31,2008
10,Italy,8,9,9,27,2008
15,Ukraine,7,10,5,27,2008
10,Japan,9,11,6,25,2008
11,Cuba,2,12,11,24,2008
7,Canada,3,13,9,19,2008
3,Spain,5,14,10,18,2008
9,Belarus,4,15,5,18,2008
4,Netherlands,7,16,5,16,2008
8,Brazil,3,17,4,15,2008
4,Kenya,6,18,4,14,2008
7,Kazakhstan,2,19,4,13,2008
2,Jamaica,6,20,3,11,2008
1,Poland,3,21,6,10,2008
2,Hungary,3,22,5,10,2008
1,Norway,3,23,5,9,2008
4,New Zealand,3,24,2,9,2008
3,Romania,4,25,1,8,2008
3,Turkey,1,26,4,8,2008
2,Ethiopia,4,27,1,7,2008
3,Denmark,2,28,2,7,2008
4,Switzerland,2,29,1,7,2008
4,Azerbaijan,1,30,2,7,2008
0,Czech Republic,3,31,3,6,2008
1,Slovakia,3,32,2,6,2008
3,Georgia,3,33,0,6,2008
3,North Korea,2,34,1,6,2008
4,Argentina,2,35,0,6,2008
3,Uzbekistan,1,36,2,6,2008
6,Armenia,0,37,0,6,2008
2,Slovenia,1,38,2,5,2008
3,Indonesia,1,39,1,5,2008
3,Bulgaria,1,40,1,5,2008
1,Sweden,0,41,4,5,2008
3,Croatia,0,42,2,5,2008
3,Lithuania,0,43,2,5,2008
0,Thailand,2,44,2,4,2008
0,Mongolia,2,45,2,4,2008
0,Zimbabwe,1,46,3,4,2008
2,Finland,1,47,1,4,2008
2,Greece,0,48,2,4,2008
3,Nigeria,0,49,1,4,2008
4,Chinese Taipei,0,50,0,4,2008
1,Mexico,2,51,0,3,2008
1,Latvia,1,52,1,3,2008
2,India,1,53,0,3,2008
2,Serbia,0,54,1,3,2008
2,Ireland,0,55,1,3,2008
2,Austria,0,56,1,3,2008
0,Portugal,1,57,1,2,2008
0,Estonia,1,58,1,2,2008
0,Belgium,1,59,1,2,2008
0,Dominican Republic,1,60,1,2,2008
1,Iran,1,61,0,2,2008
0,Trinidad and Tobago,0,62,2,2,2008
1,Tajikistan,0,63,1,2,2008
1,Algeria,0,64,1,2,2008
1,Colombia,0,65,1,2,2008
1,Kyrgyzstan,0,66,1,2,2008
1,Bahamas,0,67,1,2,2008
1,Morocco,0,68,1,2,2008
0,Panama,1,69,0,1,2008
0,Cameroon,1,70,0,1,2008
0,Tunisia,1,71,0,1,2008
0,Vietnam,0,72,1,1,2008
0,Sudan,0,73,1,1,2008
0,Ecuador,0,74,1,1,2008
0,South Africa,0,75,1,1,2008
0,Malaysia,0,76,1,1,2008
0,Iceland,0,77,1,1,2008
0,Chile,0,78,1,1,2008
0,Singapore,0,79,1,1,2008
1,Egypt,0,80,0,1,2008
1,Israel,0,81,0,1,2008
1,Afghanistan,0,82,0,1,2008
1,Venezuela,0,83,0,1,2008
1,Mauritius,0,84,0,1,2008
1,Moldova,0,85,0,1,2008
1,Togo,0,86,0,1,2008
26,United States,36,1,39,101,2004
36,Russia,28,2,26,90,2004
14,China,32,3,17,63,2004
17,Australia,17,4,16,50,2004
20,Germany,13,5,16,49,2004
12,Japan,16,6,9,37,2004
13,France,11,7,9,33,2004
