Country,Score,year,Percent
Brazil,3.0,2012,0.0148514851485
Canada,4.0,2012,0.019801980198
Netherlands,9.0,2012,0.0445544554455
Australia,18.0,2012,0.0891089108911
Italy,1.0,2012,0.0049504950495
South Africa,6.0,2012,0.029702970297
Tunisia,4.0,2012,0.019801980198
Lithuania,3.0,2012,0.0148514851485
France,17.0,2012,0.0841584158416
United States,72.0,2012,0.356435643564
Belarus,4.0,2012,0.019801980198
Great Britain,4.0,2012,0.019801980198
China,20.0,2012,0.0990099009901
Hungary,7.0,2012,0.0346534653465
Japan,14.0,2012,0.0693069306931
South Korea,4.0,2012,0.019801980198
Germany,2.0,2012,0.00990099009901
Russia,6.0,2012,0.029702970297
Spain,4.0,2012,0.019801980198
Brazil,3.0,2008,0.0147058823529
Canada,1.0,2008,0.00490196078431
Australia,37.0,2008,0.18137254902
Italy,5.0,2008,0.0245098039216
Tunisia,3.0,2008,0.0147058823529
Denmark,1.0,2008,0.00490196078431
Serbia,2.0,2008,0.00980392156863
Zimbabwe,9.0,2008,0.0441176470588
France,10.0,2008,0.0490196078431
United States,64.0,2008,0.313725490196
Slovenia,2.0,2008,0.00980392156863
Austria,1.0,2008,0.00490196078431
Netherlands,6.0,2008,0.0294117647059
China,11.0,2008,0.0539215686275
Hungary,6.0,2008,0.0294117647059
Great Britain,12.0,2008,0.0588235294118
Japan,9.0,2008,0.0441176470588
South Korea,5.0,2008,0.0245098039216
Germany,7.0,2008,0.0343137254902
Norway,3.0,2008,0.0147058823529
Russia,7.0,2008,0.0343137254902
Ukraine,7.0,2004,0.0364583333333
Romania,4.0,2004,0.0208333333333
Australia,34.0,2004,0.177083333333
Italy,3.0,2004,0.015625
South Africa,6.0,2004,0.03125
Poland,7.0,2004,0.0364583333333
Zimbabwe,6.0,2004,0.03125
France,10.0,2004,0.0520833333333
United States,61.0,2004,0.317708333333
Trinidad and Tobago,1.0,2004,0.00520833333333
Austria,4.0,2004,0.0208333333333
Netherlands,14.0,2004,0.0729166666667
Croatia,2.0,2004,0.0104166666667
China,5.0,2004,0.0260416666667
Hungary,3.0,2004,0.015625
Great Britain,2.0,2004,0.0104166666667
Japan,14.0,2004,0.0729166666667
Argentina,1.0,2004,0.00520833333333
Germany,6.0,2004,0.03125
Russia,2.0,2004,0.0104166666667
Brazil,1.0,2000,0.00526315789474
Ukraine,10.0,2000,0.0526315789474
Romania,9.0,2000,0.0473684210526
Australia,37.0,2000,0.194736842105
Italy,13.0,2000,0.0684210526316
Canada,1.0,2000,0.00526315789474
South Africa,3.0,2000,0.0157894736842
Hungary,3.0,2000,0.0157894736842
Costa Rica,2.0,2000,0.0105263157895
France,2.0,2000,0.0105263157895
United States,65.0,2000,0.342105263158
Sweden,8.0,2000,0.0421052631579
Netherlands,19.0,2000,0.1
Germany,3.0,2000,0.0157894736842
Japan,6.0,2000,0.0315789473684
Slovakia,4.0,2000,0.0210526315789
Russia,3.0,2000,0.0157894736842
Spain,1.0,2000,0.00526315789474
Brazil,4.0,1996,0.0208333333333
Canada,4.0,1996,0.0208333333333
Netherlands,2.0,1996,0.0104166666667
Australia,20.0,1996,0.104166666667
Italy,1.0,1996,0.00520833333333
Ireland,10.0,1996,0.0520833333333
Cuba,3.0,1996,0.015625
Finland,2.0,1996,0.0104166666667
Costa Rica,3.0,1996,0.015625
South Africa,7.0,1996,0.0364583333333
United States,63.0,1996,0.328125
Sweden,2.0,1996,0.0104166666667
Great Britain,3.0,1996,0.015625
Germany,17.0,1996,0.0885416666667
China,11.0,1996,0.0572916666667
Belgium,3.0,1996,0.015625
Hungary,13.0,1996,0.0677083333333
New Zealand,6.0,1996,0.03125
Russia,18.0,1996,0.09375
Brazil,2.0,1992,0.010752688172
Canada,4.0,1992,0.0215053763441
Australia,14.0,1992,0.0752688172043
Italy,2.0,1992,0.010752688172
China,22.0,1992,0.118279569892
Poland,2.0,1992,0.010752688172
Finland,1.0,1992,0.00537634408602
France,3.0,1992,0.0161290322581
United States,58.0,1992,0.311827956989
Sweden,5.0,1992,0.0268817204301
Great Britain,1.0,1992,0.00537634408602
Germany,16.0,1992,0.0860215053763
Suriname,1.0,1992,0.00537634408602
Hungary,22.0,1992,0.118279569892
Unified Team,25.0,1992,0.134408602151
New Zealand,2.0,1992,0.010752688172
