category,target,people,title,shares,current,location,date
  Volunteer," of $3,000 goal",16,Geaux Fund LA, 52,"1,600","
                        ,  BATON ROUGE, LA                    ","Created August 16, 2016"
  Volunteer, of $10k goal,18,Amy Sins Baton Rouge Flood Outreach, 442,"1,050","
                        ,  NEW ORLEANS, LA                    ","Created August 14, 2016"
,,,Ironwoman Military Veteran Charity,,,,
  Volunteer, of $450k goal,87,Civil Rights for Rape Survivors, 803,"4,055","
                        ,  WASHINGTON, DC                    ","Created August 2, 2016"
,,,Help For Refugees,,,,
  Charity," of $4,000 goal",23,Help Chloe Hear Again, 121,"1,035","
                        ,  BRIDGEWATER, MA                    ","Created August 16, 2016"
  Charity," of $2,000 goal",60,Eco-Friendly Filtered H2O Fountain, 172,"1,706","
                        ,  MADISON, WI                    ","Created August 9, 2016"
  Volunteer," of $2,155 goal",29,CarePackages for In Need Marines, 361,"1,875","
                        ,  MANSFIELD, MA                    ","Created August 14, 2016"
  Emergencies, of $50k goal,149,Louisiana Flood Fund , 663,"6,981","
                        ,  LEAGUE CITY, TX                    ","Created August 14, 2016"
  Charity, of $10k goal,78,Gulotta's 100 year old Family Store, 2.6K,"7,710","
                        ,  NEW IBERIA, LA                    ","Created August 13, 2016"
  Emergencies, of $10k goal,125,Lindsay & Scott Falgoust Flood Fund, 430,"11,785","
                        ,  BATON ROUGE, LA                    ","Created August 16, 2016"
  Emergencies," of £6,000 goal",164,Raise money for Catherine and Joel, 284,"5,277","
                        ,  Milngavie Ward, SCT                    ","Created August 14, 2016"
  Animals," of €2,000 goal",52,Dublin Husky Rescue Vet Bills, 334,655,"
                        ,  Kildare, Kildare Ireland                    ","Created August 15, 2016"
  Emergencies, of $50k goal,164,West Family House Fire, 634,"14,200","
                        ,  FAIRVIEW, TN                    ","Created August 14, 2016"
  Charity," of $5,000 goal",35,Bernie's Base Camp Challenge, 57,"2,725","
                        ,  Sydney, Australia                    ","Created August 14, 2016"
  Medical, of $25k goal,193,An Army for Jackson, 963,"18,870","
                        ,  FRANKLIN, WI                    ","Created August 13, 2016"
,,,Eagle Scout Project Funding,,,,
  Animals," of $3,000 goal",41,Helping hunter, 110,"1,085","
                        ,  6167 - wandi Western australia                    ","Created August 17, 2016"
  Medical, of £205k goal,"6,837",Kevin's Fight Against Brain Tumour, 5.3K,"232,633","
                        ,  Ballymena, NIR                    ","Created August 9, 2016"
  Medical, of $25k goal,120,Helping Renee get back on her feet, 524,"9,640","
                        ,  Docklands, VIC                    ","Created August 16, 2016"
,,,Shave for South America ,,,,
  Memorials, of $20k goal,125,Funeral Cost for Mohamed AboObaidia, 826,"8,641","
                        ,  HOUSTON, TX                    ","Created August 15, 2016"
,,,OUR VOLUNTEER TRIP TO INDIA,,,,
,,,Christmas in Calais supplies fund,,,,
  Volunteer, of $50k goal,9,Emergency Responders Relief, 193,675,"
                        ,  GONZALES, LA                    ","Created August 15, 2016"
  Volunteer," of $1,000 goal",11,Woodlawn Community Flood Relief, 95,610,"
                        ,  BATON ROUGE, LA                    ","Created August 16, 2016"
,,,Grant Victor & Koins for Kenya ,,,,
,,,Raising Men Lawn Care HSV 2016,,,,
  Volunteer," of £2,000 goal",29,My Volunteer trip to Nevis W.I, 229,"1,126","
                        ,  Britwell Ward, ENG                    ","Created August 4, 2016"
  Medical," of $5,000 goal",121,Amelia's Fight, 621,"5,565","
                        ,  LIVERPOOL, NY                    ","Created August 16, 2016"
  Medical, of $50k goal,295,Help for William, 827,"30,435","
                        ,  SPARTA, NJ                    ","Created August 13, 2016"
  Medical, of $20k goal,142,A VAN FOR KASPAR, 565,"8,903","
                        ,  Croydon South, VIC                    ","Created August 16, 2016"
  Medical, of $30k goal,372,Officers Daughter Medical Expenses, 1.6K,"22,450","
                        ,  CHINO VALLEY, AZ                    ","Created August 13, 2016"
  Charity," of $5,000 goal",36,Private BC Syrian Family Sponsorshp, 94,"1,615","
                        ,  Burnaby, BC                    ","Created August 9, 2016"
  Medical, of $1 goal,191,Medical Bills and Recovery for Rudi, 464,"13,874","
                        ,  PORTLAND, OR                    ","Created August 14, 2016"
  Charity, of $20k goal,38,SOLEMEN help disadvantaged Balinese, 116,"9,577","
                        ,  Whale Beach, NSW                    ","Created August 1, 2016"
  Medical, of $475k goal,148,"Pedestrian Hit by Car, Medical Fund", 1.2K,"14,015","
                        ,  PUYALLUP, WA                    ","Created August 15, 2016"
  Charity, of $10k goal,62,Establish a Culture Center, 297,"5,303","
                        ,  ALAMEDA, CA                    ","Created August 9, 2016"
  Medical, of $20k goal,147,Support for Tanner Tonkin, 336,"11,991","
                        ,  Toronto, ON                    ","Created August 16, 2016"
  Charity," of $5,000 goal",31,Help Keep Akwaaba Free Clinic Open, 76,925,"
                        ,  WORCESTER, MA                    ","Created August 10, 2016"
  Charity," of $1,500 goal",21,Single Mother - 2 Kids in Poverty, 54,765,"
                        ,  MONTROSE, CA                    ","Created August 15, 2016"
,,,Moonwalk the Makgadikgadi Botswana,,,,
  Charity, of $25k goal,21,Love offering for Pastora Lupita R., 270,"2,290","
                        ,  FONTANA, CA                    ","Created August 16, 2016"
  Animals, of $13.4k goal,53,Charlie's Medical Fund, 90,"3,710","
                        ,  DENVER, CO                    ","Created August 16, 2016"
  Animals," of $9,572 goal",126,Sophie's IVDD Spinal Surgery, 2.0K,"8,950","
                        ,  BIDDEFORD, ME                    ","Created July 30, 2016"
  Charity, of $10k goal,23,Colour Pink Foundation Trans Health, 208,"1,000","
                        ,  00000                    ","Created August 10, 2016"
  Animals," of $4,000 goal",56,Moose emergency surgery, 140,"1,810","
                        ,  LOUISVILLE, KY                    ","Created August 16, 2016"
  Charity, of $10k goal,20,James Taylor Jennings Memorial Fund, 203,"2,125","
                        ,  HAMPTON, VA                    ","Created August 16, 2016"
  Animals," of $5,000 goal",82,Sugar's Hospital bill, 404,"3,110","
                        ,  LOS ANGELES, CA                    ","Created August 15, 2016"
  Animals," of $4,000 goal",66,Bring Alex Home, 218,"2,220","
                        ,  Mermaid Beach, QLD                    ","Created August 15, 2016"
  Animals, of $16k goal,143,Trampled Rose Ranch Fundraiser, 783,"12,465","
                        ,  ATLANTA, GA                    ","Created August 14, 2016"
  Animals," of $5,000 goal",41,Beanie's Back, 67,"1,665","
                        ,  SEATTLE, WA                    ","Created August 17, 2016"
,,,"Make a Rhino, Save a Species",,,,
  Animals, of $50k goal,988,Please help Tangi Humane Society, 5.3K,"38,940","
                        ,  HAMMOND, LA                    ","Created August 14, 2016"
  Animals," of $6,500 goal",42,Help Leo have Surgery , 293,"2,085","
                        ,  Saanich, BC                    ","Created August 17, 2016"
  Animals, of $585 goal,89,Help Replace Charleys Wheelchair, 385,"1,650","
                        ,  LONG BEACH, WA                    ","Created August 16, 2016"
