"","PreK_Type","Borough","LocName","phone","address","Email","Website","lat","lon","zip","Seats","Length","Meal_Plan","Playspace","Extended_Day_Care","Priority"
"1","DOE","Brooklyn","P.S. 001 The Bergen","718-567-7661","309 47 St","aramos4@schools.nyc.gov","http://schools.nyc.gov/schoolportals/15/k001",40.6486873,-74.0112522,11220,125,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"2","DOE","Brooklyn","P.S. 003 The Bedford Village","718-622-2960","50 Jefferson Ave","kbeeche@schools.nyc.gov","http://schools.nyc.gov/schoolportals/13/k003",40.6823068,-73.9552409,11216,90,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"3","DOE","Brooklyn","P.S. 005 Dr. Ronald Mcnair","718-574-2333","820 Hancock St","lgates@schools.nyc.gov","http://schools.nyc.gov/schoolportals/16/k005",40.6856027,-73.9232122,11233,36,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"4","DOE","Brooklyn","P.S. 007 Abraham Lincoln","718-647-3600","858 Jamaica Ave","cnoel@schools.nyc.gov","http://schools.nyc.gov/schoolportals/19/k007",40.6895935,-73.8729894,11208,36,"Full Day","Contact agency","Contact agency","Contact agency","None"
"5","DOE","Brooklyn","P.S. 009 Teunis G Bergen","718-638-3260","80 Underhill Ave","sdavila@schools.nyc.gov","http://ps9brooklyn.org",40.6785844,-73.9663398,11238,90,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"6","DOE","Brooklyn","P.S. 011 Purvis J Behan","718-638-2661","419 Waverly Ave","awright3@schools.nyc.gov","http://schools.nyc.gov/schoolportals/13/k011",40.6856228,-73.9658514,11238,72,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"7","DOE","Brooklyn","Dr. Jacqueline Peek - Davis School","718-953-4569","430 Howard Ave","gthom2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/17/k012",40.6731183,-73.920067,11233,72,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"8","DOE","Brooklyn","P.S. 013 Roberto Clemente","718-498-3717","557 Pennsylvania Ave","mcameron2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/19/k013",40.6637837,-73.8932587,11207,36,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"9","DOE","Brooklyn","P.S. 015 Patrick F Daly","718-330-9280","71 Sullivan St","pwyns@schools.nyc.gov","http://ps15patrickfdaly.org",40.677069,-74.0118509,11231,84,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Offered","None"
"10","DOE","Brooklyn","P.S. 016 Leonard Dunkly","718-782-5352","157 Wilson St","mrenny@schools.nyc.gov","http://schools.nyc.gov/schoolportals/14/k016",40.7059151,-73.9620676,11211,72,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"11","DOE","Brooklyn","P.S. 017 Henry D Woodworth","718-387-2929","208 North 5 St","rmarchi@schools.nyc.gov","http://schools.nyc.gov/schoolportals/14/k017",40.7152742,-73.957057,11211,28,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"12","DOE","Brooklyn","P.S. 018 Edward Bush","718-387-3241","101 Maujer St","aalexan4@schools.nyc.gov","http://schools.nyc.gov/schoolportals/14/k018",40.7106552,-73.9465648,11206,36,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"13","DOE","Brooklyn","P.S. 020 Clinton Hill","718-834-6744","225 Adelphi St","lbarbera@schools.nyc.gov","http://schools.nyc.gov/schoolportals/13/k020",40.691059,-73.9710157,11205,54,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"14","DOE","Brooklyn","P.S. 021 Crispus Attucks","718-493-9681","180 Chauncey St","lfrazie@schools.nyc.gov","http://schools.nyc.gov/schoolportals/16/k021",40.680441,-73.92635,11233,54,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"15","DOE","Brooklyn","P.S. 023 Carter G Woodson","718-387-0375","545 Willoughby Ave","cnapoli@schools.nyc.gov","http://schools.nyc.gov/schoolportals/14/k023",40.6941556,-73.9477904,11206,36,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"16","DOE","Brooklyn","P.S. 024","718-832-9366","427 38 St","rdubits@schools.nyc.gov","http://schools.nyc.gov/schoolportals/15/k024",40.6528183,-74.0044959,11232,36,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"17","DOE","Brooklyn","P.S. 025 Eubie Blake School","718-574-2336","787 Lafayette Ave","acoley2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/16/k025",40.6914765,-73.940691,11221,36,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"18","DOE","Brooklyn","P.S. 026 Jesse Owens","718-919-5707","1014 Lafayette Ave","ccelest@schools.nyc.gov","http://schools.nyc.gov/schoolportals/16/k026",40.6919757,-73.9314884,11221,18,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"19","DOE","Brooklyn","P.S. 028 The Warren Prep Academy","718-467-2865","1001 Herkimer St","","http://schools.nyc.gov/schoolportals/16/k028",40.6781614,-73.9202186,11233,18,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"20","DOE","Brooklyn","P.S. 029 John M Harrigan","718-330-9277","425 Henry St","rfagin@schools.nyc.gov","http://schools.nyc.gov/schoolportals/15/k029",40.6869349,-73.9977101,11201,54,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"21","DOE","Brooklyn","P.S. 031 Samuel F Dupont","718-383-8998","75 Meserole Ave","mscarla@schools.nyc.gov","http://schools.nyc.gov/schoolportals/14/k031",40.7269875,-73.9541882,11222,108,"Full Day","Breakfast/Lunch","Indoor","Contact agency","None"
