LOCCODE,PreK_Type,Borough,LocName,NOTE,phone,address,zip,Day_Length,Seats,X,Y,Email,Website,MEALS,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE
K001,DOE,K,P.S. 001 The Bergen,,718-567-7661,309 47 St,11220,1,125,980985,175780,aramos4@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k001,2,3,3,15K001
K003,DOE,K,P.S. 003 The Bedford Village,,718-622-2960,50 Jefferson Ave,11216,1,90,996604,187904,kbeeche@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k003,2,3,3,13K003
K005,DOE,K,P.S. 005 Dr. Ronald Mcnair,,718-574-2333,820 Hancock St,11233,1,36,1005773,189031,lgates@schools.nyc.gov,http://schools.nyc.gov/schoolportals/16/k005,2,3,3,16K005
K007,DOE,K,P.S. 007 Abraham Lincoln,,718-647-3600,858 Jamaica Ave,11208,1,36,1019458,190490,cnoel@schools.nyc.gov,http://schools.nyc.gov/schoolportals/19/k007,5,9,3,19K007
K009,DOE,K,P.S. 009 Teunis G Bergen,,718-638-3260,80 Underhill Ave,11238,1,90,993700,186368,sdavila@schools.nyc.gov,http://ps9brooklyn.org,2,3,3,13K009
K011,DOE,K,P.S. 011 Purvis J Behan,,718-638-2661,419 Waverly Ave,11238,1,72,993685,189033,awright3@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k011,2,3,3,13K011
K012,DOE,K,Dr. Jacqueline Peek - Davis School,,718-953-4569,430 Howard Ave,11233,1,72,1006488,184472,gthom2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/17/k012,2,3,3,17K012
K013,DOE,K,P.S. 013 Roberto Clemente,,718-498-3717,557 Pennsylvania Ave,11207,1,36,1013831,181130,mcameron2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/19/k013,2,3,3,19K013
K015,DOE,K,P.S. 015 Patrick F Daly,,718-330-9280,71 Sullivan St,11231,1,84,981053,185943,pwyns@schools.nyc.gov,http://ps15patrickfdaly.org,3,3,1,15K015
K016,DOE,K,P.S. 016 Leonard Dunkly,,718-782-5352,157 Wilson St,11211,1,72,994790,196466,mrenny@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k016,2,3,3,14K016
K017,DOE,K,P.S. 017 Henry D Woodworth,,718-387-2929,208 North 5 St,11211,1,28,996201,199850,rmarchi@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k017,2,3,3,14K017
K018,DOE,K,P.S. 018 Edward Bush,,718-387-3241,101 Maujer St,11206,1,36,998970,198249,aalexan4@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k018,2,3,3,14K018
K020,DOE,K,P.S. 020 Clinton Hill,,718-834-6744,225 Adelphi St,11205,1,54,992270,190980,lbarbera@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k020,2,3,3,13K020
K021,DOE,K,P.S. 021 Crispus Attucks,,718-493-9681,180 Chauncey St,11233,1,54,1004755,187212,lfrazie@schools.nyc.gov,http://schools.nyc.gov/schoolportals/16/k021,2,3,3,16K021
K023,DOE,K,P.S. 023 Carter G Woodson,,718-387-0375,545 Willoughby Ave,11206,1,36,998775,192219,cnapoli@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k023,2,3,3,14K023
K024,DOE,K,P.S. 024,,718-832-9366,427 38 St,11232,1,36,982972,177112,rdubits@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k024,3,3,3,15K024
K025,DOE,K,P.S. 025 Eubie Blake School,,718-574-2336,787 Lafayette Ave,11221,1,36,1000753,191155,acoley2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/16/k025,3,3,3,16K025
K026,DOE,K,P.S. 026 Jesse Owens,,718-919-5707,1014 Lafayette Ave,11221,1,18,1003289,191351,ccelest@schools.nyc.gov,http://schools.nyc.gov/schoolportals/16/k026,2,3,3,16K026
K028,DOE,K,P.S. 028 The Warren Prep Academy,,718-467-2865,1001 Herkimer St,11233,1,18,1006403,186449,,http://schools.nyc.gov/schoolportals/16/k028,2,3,3,16K028
K029,DOE,K,P.S. 029 John M Harrigan,,718-330-9277,425 Henry St,11201,1,54,984883,189545,rfagin@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k029,3,3,3,15K029
K031,DOE,K,P.S. 031 Samuel F Dupont,,718-383-8998,75 Meserole Ave,11222,1,108,996979,204091,mscarla@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k031,2,1,3,14K031
K032,DOE,K,P.S. 032 Samuel Mills Sprole,,718-222-6400,317 Hoyt St,11231,1,30,986550,187189,dflorio@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k032,3,7,3,15K032
K034,DOE,K,P.S. 034 Oliver H Perry,,718-389-5842,131 Norman Ave,11222,1,18,998184,203901,casselt@schools.nyc.gov,http://ps34.org,2,3,3,14K034
K038,DOE,K,P.S. 038 The Pacific,,718-330-9305,450 Pacific St,11217,1,126,988968,188868,yramire4@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k038,3,3,1,15K038
K039,DOE,K,P.S. 039 Henry Bristow,,718-330-9310,417 6 Ave,11215,1,36,988958,182905,,http://ps39.org,7,3,3,15K039
K040,DOE,K,P.S. 040 George W Carver,,718-574-2353,265 Ralph Ave,11233,1,36,1005913,187134,lhibber@schools.nyc.gov,http://schools.nyc.gov/schoolportals/16/k040,3,3,3,16K040
