,business_id,stars_of_business,AVG_stars_category,                                    AVG_stars_category_round,categories,latitude,longitude,PriceRange
0,OlpyplEJ_c_hFxyand_Wxw,3.0,3.68550936056,3.5,Asian Fusion,33.575816,-111.926234,2.0
1,ny1T3dzXf8_ySXkFv37qwQ,4.0,3.67025617774,3.5,Pizza,33.137514,-111.540872,2.0
2,VZYMInkjRJVHwXVFqeoMWg,3.5,3.2826009922,3.5,Fast Food,33.486194,-112.073895,1.0
3,qcylQLL-fXdFHrdXC2jZFw,2.5,3.71693633128,3.5,American,33.4241057599,-111.939825685,1.0
4,ke3RFq3mHEAoJE_kkRNhiQ,3.5,3.75842852198,4.0,Barbeque,33.433975,-111.903833,2.0
5,SNpVV5viJ2aPylP6bkAx8Q,3.0,3.71693633128,3.5,American,33.4143794,-111.9359999,2.0
6,wOL5PrOe0yG0wWz7aAEoXQ,2.5,3.6339869281,3.5,Mexican,33.2626881,-111.7167569,1.0
7,3m7khDnqH9QOg8gu3Ymumw,3.0,3.71693633128,3.5,American,33.5084591,-112.0307315,2.0
8,7Y1lfzFkwBRoMZKIMMeZMw,3.5,3.2826009922,3.5,Fast Food,33.7120170731,-112.274734688,1.0
9,APzio4blbje5mhMGJqP8Ew,4.5,3.6339869281,3.5,Mexican,33.571495,-112.0602527,2.0
10,i_H_yKtISROjQ4eruSwyPw,3.5,3.75842852198,4.0,Barbeque,33.4245349584,-111.935202808,1.0
11,NtizlEdtnJX0tteMdZ-6tw,4.0,3.57892219388,3.5,Sandwiches,33.6102682,-112.1507068,1.0
12,31BSDpbBAfUaul4MVFl9kQ,1.5,3.57690228931,3.5,Burgers,33.6520132349,-111.886832615,1.0
13,Xq9tkiHhyN_aBFswFeGLvA,4.0,3.71693633128,3.5,American,33.4474723,-112.0732602,2.0
14,4qOPELunTvPQsmmnLDr4Jw,3.5,3.71693633128,3.5,American,33.5780787,-111.9269931,2.0
15,CQHKoO91ivQJ9hFDCFdSSw,3.5,3.71693633128,3.5,American,33.4157036,-111.6995673,2.0
