,Address,Description,FeatureCount,Fee,Langtitude,Latitude,LengthOfVisit,MuseumName,PhoneNum,Rank,Rating,ReviewCount,TotalThingsToDo
0,"555 Pennsylvania Ave NW, Washington DC, DC 20001-2114","Find out for yourself why everyone is calling the Newseum the best experience Washington, D.C. has to offer. Each of the seven levels in this magnificent building is packed with interactive exhibits that explore free expression and the five freedoms of the First Amendment: religion, speech, press, assembly and petition. Whether you have just a few hours or want to spend all day, you'll find something for everyone in the family in the Newseum's 15 theaters and 15 galleries.",3,Yes ,-77.0192351,38.8931385,2-3 hours ,Newseum,+1 888-639-7386,8,4.5,"6,309",398
1,"Great Russell Street, London WC1B 3DG, England","A museum of the world, for the world. Discover over two million years of human history and culture. Some of the world-famous objects include the Rosetta Stone, the Parthenon sculptures and Egyptian mummies.",6,No ,-0.1268526,51.5179811,2-3 hours ,British Museum,+44 (0)20 7323 8299,1,4.5,"41,295","1,443"
2,"Museumstraat 1, 1071 XX Amsterdam, The Netherlands","The Rijksmuseum is the museum of the Netherlands. The completely renovated Rijksmuseum tells the story of the Netherlands from the Middle Ages to the 20th century. Including works by Rembrandt, Vermeer, Frans Hals, and more! Most famous is Rembrandt's masterpiece the Night Watch. A new display of the collection, a renewed building, new public facilities, a revamped garden and a new Asian Pavilion. Open daily from 9 am to 5 pm.",12,Yes ,4.8851853,52.3600072,More than 3 hours ,Rijksmuseum,+31 20 674 7000,1,4.5,"25,042",451
3,"1000 5th Ave, New York City, NY 10028-0198","At New York City's most visited museum and attraction, you will experience over 5,000 years of art from around the world. The Met is for anyone as a source of inspiration, insight and understanding. You can learn, escape, play, dream, discover, connect.",12,Yes ,-73.9629278,40.7791655,2-3 hours ,The Metropolitan Museum of Art,1 212-535-7710,2,5.0,"36,628","1,028"
4,"1, Rue de la Legion d'Honneur, 75007 Paris, France","This beautiful museum, once a railroad station, now houses a staggering collection of Impressionist art, as well as other items created between 1848 and 1914. In 2011, the museum is running a renovation of the top floor (impressionist gallery). Only ground and medium floor are accessible. The top floor will re-open on the 20th of October. Meanwhile, some impressionist masterpieces are not visible.",11,Yes ,2.3259283,48.86019779999999,More than 3 hours ,Musee d'Orsay,+33 1 40 49 48 14,1,4.5,"43,037","1,004"
5,"Bodestrasse 1-3, 10178 Berlin, Germany","This internationally renowned ancient history museum contains several fantastic artifacts, including the huge Altar of Zeus and the famous Ishtar Gate from Babylon.",7,Yes ,13.3988335,52.5194895,2-3 hours ,Pergamon Museum,30-2090 5577,9,4.5,"13,459",722
6,"Museumplein 6, 1071 DJ Amsterdam, The Netherlands","Discover the world's largest collection of works by Dutch painter Vincent van Gogh at the Van Gogh Museum in Amsterdam, featuring masterpieces such as Sunflowers, The Potato Eaters, Almond Blossom and The Bedroom.",12,Yes ,4.8815794,52.3584328,1-2 hours ,Van Gogh Museum,+31 20 570 5200,3,4.5,"33,383",451
7,"Galarvarvsvagen 14 | Djurgarden, Stockholm 115 21, Sweden",The Vasa ship capsized and sank in Stockholm 1628. After 333 years on the sea bed the mighty warship was salvaged and the voyage could continue. Today Vasa is the world's only preserved 17th century ship and the most visited museum in Scandinavia.,2,Yes ,18.091683,59.3282621,1-2 hours ,Vasa Museum,+46 8 519 548 00,1,4.5,"18,347",284
8,"Dionysiou Areopagitou 15 | Makriyianni, Athens 117 42, Greece","Modern, uptodate building on the foot of the Acropolis housing important ancient Greek statues and much more",11,Yes ,23.7293284,37.9694164,2-3 hours ,Acropolis Museum,30 210 9000900,1,4.5,"18,258",324
9,"945 Magazine Street, New Orleans, LA 70130-3813","Founded by historian and author, Stephen Ambrose, the Museum tells the story of the American Experience in the war that changed the world - why it was fought, how it was won, and what it means today - so that all generations will understand the price of freedom and be inspired by what they learn. ",11,NA,-90.07008599999999,29.9430044,NA,The National WWII Museum,+1 504-528-1944,1,5.0,"15,613",319
10,"Barer Strasse 27 | Eingang Theresienstrae, 80333, Munich, Bavaria, Germany","Housing much of the city's most famous artwork, this museum's collection includes renowned international works from the 14th through the 18th centuries.",4,Yes ,11.5699827,48.1495194,More than 3 hours ,Alte Pinakothek,+49 0 89 23805-216,16,4.5,"1,715",293
11,"Calle Ruiz de Alarcon 23, 28014 Madrid, Spain","The Prado has one of the largest art collections in the world, and is best known for its diverse assortment of works by Velasquez, Goya and El Greco.",13,Yes ,-3.6913181,40.4135843,More than 3 hours ,Prado National Museum,902107077,1,4.5,"31,900",705
