,Address,Description,FeatureCount,Fee,Langtitude,Latitude,LengthOfVisit,MuseumName,PhoneNum,Rank,Rating,ReviewCount,TotalThingsToDo,Country,State,RankPercentage,Ancient Ruins,Architectural Buildings,Arenas & Stadiums,Art Galleries,Art Museums,Auto Race Tracks,Ballets,Battlefields,Biking Trails,Bodies of Water,Bridges,Castles,Cemeteries,Children's Museums,City Tours,Classes & Workshops,Coffeehouses,Concerts & Shows,Cultural Tours,Educational sites,Factory Tours,Flea & Street Markets,Food & Drink,Fun & Games,Gardens,Geologic Formations,Gift & Specialty Shops,Government Buildings,Historic Sites,Historic Walking Areas,Historical & Heritage Tours,History Museums,Islands,Lessons & Workshops,Libraries,Lighthouses,"Literary, Art & Music Tours",Lookouts,Military Bases & Facilities,Military Museums,Mines,Monuments & Statues,Movie Theaters,Museums,National Parks,Natural History Museums,Nature & Parks,Nature & Wildlife Areas,Neighborhoods,Night Tours,Nightlife,Observation Decks & Towers,Observatories & Planetariums,Other Fun & Games,Other Outdoor Activities,Outdoor Activities,Piers & Boardwalks,Playgrounds,Points of Interest & Landmarks,Private Tours,Sacred & Religious Sites,Scenic Railroads,Scenic Walking Areas,Science Museums,Self-Guided Tours & Rentals,Ships,Shopping,Sights & Landmarks,Specialty Museums,Sports Complexes,State Parks,Theaters,Tours,Tramways,Transportation,Traveler Resources,Valleys,Visitor Centers,Volcanos,Walking Tours,Wineries & Vineyards,Zipline & Aerial Adventure Parks,Zoos & Aquariums,on display,gift shop,rainy day,couple of hours,all ages,special exhibits,few hours,two hours,exhibits,well worth a visit,permanent collection,worth a visit,free admission,audio guide,beautiful building,great collection,information,interesting exhibits,entrance fee,great for kids,interactive exhibits,hands on activities,great exhibits,great place to visit,interactive displays,guided tour,well worth the visit,whole family,kids and adults,traveling exhibits,his life,local history,amazing collection,free entry,worth the trip,great history,civil war,take your time,nice collection,interesting place,great museum,for sale,art lovers,artifacts,van gogh,audio tour,history,galleries,works of art,natural history,self guided tour,private collection,own pace,sculpture garden,moving experience,three hours,lots of history,modern art,history buff,admission,small museum,step back in time,worth a stop,short film,stuffed animals,walk around,entry fee,great displays,world war,scavenger hunt,across the street,museums,top floor,a lot of fun,history lesson,large collection,eye opening,american history,interesting artifacts,early days,rotating exhibits,extensive collection,three floors,we spent hours,displays,changing exhibits,second floor,collection,old masters,great place to learn,learn something,special exhibitions,suggested donation,old west,chronological order,enjoyed our visit,take pictures,third floor,the lower level,life size,Families_Count,Couples_Count,Solo_Count,Business_Count,Friends_Count,PreciseRating,quote_pol_var,quote_pol_mean,quote_pol_max,quote_pol_min,quote_sub_var,quote_sub_mean,quote_sub_max,quote_sub_min,review_pol_var,review_pol_mean,review_pol_max,review_pol_min,review_sub_var,review_sub_mean,review_sub_max,review_sub_min,descri_pol,descri_sub
0,"555 Pennsylvania Ave NW, Washington DC, DC 20001-2114","Find out for yourself why everyone is calling the Newseum the best experience Washington, D.C. has to offer. Each of the seven levels in this magnificent building is packed with interactive exhibits that explore free expression and the five freedoms of the First Amendment: religion, speech, press, assembly and petition. Whether you have just a few hours or want to spend all day, you'll find something for everyone in the family in the Newseum's 15 theaters and 15 galleries.",3.0,Yes ,-77.0192351,38.8931385,2-3 hours ,Newseum,+1 888-639-7386,8.0,4.5,6309.0,398.0,USA,DC,2.01005025126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587.0,1524.0,425.0,363.0,871.0,4.70059980007,0.128876756198,0.339545454545,1.0,0.0,0.135220018365,0.475151515152,1.0,0.0,0.0237598486837,0.334676979823,0.611111111111,0.0,0.0145207839106,0.509036304604,0.754861111111,0.342857142857,0.49,0.506666666667
4,"1000 5th Ave, New York City, NY 10028-0198","At New York City's most visited museum and attraction, you will experience over 5,000 years of art from around the world. The Met is for anyone as a source of inspiration, insight and understanding. You can learn, escape, play, dream, discover, connect.",12.0,Yes ,-73.9629278,40.7791655,2-3 hours ,The Metropolitan Museum of Art,1 212-535-7710,2.0,5.0,36627.0,1028.0,USA,IL,0.194552529183,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5072.0,6264.0,2131.0,638.0,3782.0,4.79282754679,0.0551930918128,0.222821067821,0.7,0.0,0.0911874169338,0.383548180215,0.9,0.0,0.0180570681274,0.31833931851,0.634375,0.127083333333,0.0182797339226,0.537971107176,0.7,0.291666666667,0.318181818182,0.477272727273
5,"945 Magazine Street, New Orleans, LA 70130-3813","Founded by historian and author, Stephen Ambrose, the Museum tells the story of the American Experience in the war that changed the world - why it was fought, how it was won, and what it means today - so that all generations will understand the price of freedom and be inspired by what they learn. ",11.0,,-90.070086,29.9430044,,The National WWII Museum,+1 504-528-1944,1.0,5.0,15611.0,319.0,USA,NY,0.313479623824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2970.0,6224.0,822.0,774.0,2419.0,4.7639220366,0.125072222222,0.285303030303,1.0,-0.1,0.120107070707,0.352121212121,1.0,0.0,0.0102216023964,0.333493490096,0.5,0.140782828283,0.0191001827049,0.508204611046,0.804861111111,0.333333333333,0.0,0.0
6,"2001 N Colorado Blvd, Denver, CO 80205-5798","The Denver Museum of Nature & Science is the Rocky Mountain regions leading resource for informal science education. A variety of exhibitions, programs, and activities help Museum visitors experience the natural wonders of Colorado, Earth, and the universe.",0.0,,-104.94102,39.7691894,,Denver Museum of Nature & Science,303-370-6000,4.0,4.5,2564.0,231.0,USA,MA,1.7316017316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031.0,467.0,137.0,74.0,291.0,4.59790491539,0.111490691358,0.425888888889,1.0,0.0,0.120250444444,0.506333333333,1.0,0.0,0.0226252703406,0.429964088941,0.664285714286,0.192261904762,0.0148449187419,0.584561014182,0.783333333333,0.438095238095,0.1,0.4
7,"111 S Michigan Ave, Chicago, IL 60603-6488","This Classical Renaissance structure, guarded by two bronze lions at its entrance, boasts one of the world's great art collections, including the trademark ""American Gothic.""",5.0,Yes ,-87.6237238,41.8795473,More than 3 hours ,Art Institute of Chicago,312 443 3600,1.0,5.0,15532.0,614.0,USA,IL,0.162866449511,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2759.0,4064.0,1421.0,829.0,2452.0,4.80493089279,0.145285080247,0.399277777778,1.0,-0.15,0.109114130511,0.416126984127,1.0,0.0,0.0302032687688,0.29911693231,0.681333333333,0.125,0.0253800900958,0.530728059819,0.788333333333,0.266666666667,0.3,0.3375
8,"180 Greenwich St, World Trade Center, New York City, NY 10007-0089","The National September 11 Memorial & Museum is a place of remembrance honoring those who perished in the terrorist attacks of September 11, 2001 and February 26, 1993. ",5.0,No ,-74.0124786,40.7114147,1-2 hours ,The National 9/11 Memorial & Museum,+1 212-312-8800,3.0,4.5,48437.0,1028.0,USA,DC,0.291828793774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8913.0,11298.0,1688.0,652.0,5866.0,4.76187194587,0.127489485908,0.313846801347,1.0,0.0,0.148984247749,0.518235129068,1.0,0.0,0.0219731102201,0.233406084656,0.50625,0.0,0.0177959828131,0.508243145743,0.683333333333,0.2,0.0,0.0
9,"465 Huntington Ave, Avenue of the Arts, Boston, MA 02115-5597","Boston's oldest, largest and best-known art institution, the MFA houses one of the world's most comprehensive art collections and is renowned for its Impressionist paintings, Asian and Egyptian collections and early American art.",4.0,Yes ,-71.0850239,42.3428415,2-3 hours ,Museum of Fine Arts,617-267-9300,2.0,4.5,5480.0,371.0,USA,DC,0.539083557951,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,68.0,209.0,49.0,14.0,118.0,4.45869947276,0.134871042899,0.410480769231,1.0,0.0,0.158765101085,0.386378205128,1.0,0.0,0.0179350333501,0.308986717647,0.55,0.139722222222,0.0113275909519,0.524394851181,0.666666666667,0.3,0.15,0.2
14,"1400 S Lake Shore Dr, Chicago, IL 60605-2827","One of America's premier natural history museums, the Field's ""Live over Time"" exhibit now houses ""Sue,"" the largest and most complete Tyrannosaurus rex ever discovered.",4.0,Yes ,-87.6169862,41.8661733,More than 3 hours ,The Field Museum,312 922 9410,9.0,4.5,5500.0,614.0,USA,IA,1.4657980456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612.0,1217.0,277.0,158.0,597.0,4.46350671141,0.0574259479718,0.205912698413,0.6,-0.05,0.0873246031746,0.370952380952,0.9,0.0,0.0256141112097,0.422576208514,0.716666666667,0.2325,0.0126705973213,0.587527958153,0.866666666667,0.472619047619,0.209090909091,0.45
19,"10th Street and Constitution Ave, Washington DC, DC 20560","Established in 1910 and located on the National Mall, this prestigious museum, part of the Smithsonian Institution, holds the world's most extensive collection of natural history specimens and human artifacts including the remains of dinosaurs and tools used by early man.",7.0,No ,-77.0259613,38.8921037,2-3 hours ,Smithsonian National Museum of Natural History,202 633-1000,12.0,4.5,7640.0,398.0,USA,CA,3.01507537688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2558.0,1439.0,401.0,222.0,666.0,4.5234741784,0.124623493929,0.307313131313,1.0,-0.3,0.0849999630522,0.448164141414,1.0,0.0,0.028081659885,0.452977994228,0.666666666667,0.175396825397,0.0190311015744,0.621915584416,0.8,0.344444444444,0.14,0.326666666667
24,"6th and Independence Ave., SW, Washington DC, DC 20560",The most popular of the Smithsonian museums features the Wright Brothers' 1903 Flyer and Lindbergh's Spirit of St. Louis.,10.0,No ,-77.0199048,38.8875682,2-3 hours ,Smithsonian National Air and Space Museum,2026331000,3.0,4.5,14492.0,398.0,USA,TN,0.753768844221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4199.0,2767.0,737.0,419.0,1171.0,4.59264330047,0.0552895273369,0.229507936508,0.8,-0.0383333333333,0.0947686031746,0.399095238095,0.9,0.0,0.0280050376235,0.318275558616,0.7,0.0955357142857,0.0269435190456,0.562151875902,0.95,0.386666666667,0.55,0.7
