"Date"	"All"	"Men"	"Women"	"All"	"Men"	"Women"
"1989-12-01"	"10.02 "	"10.78 "	"9.16"	"16.85 "	"17.53 "	"16.36 "
"1990-01-01"	"10.02"	"10.74"	"9.24"	"16.94"	"17.72"	"16.39"
"1990-02-01"	"10.04"	"10.76"	"9.22"	"16.92"	"17.72"	"16.36"
"1990-03-01"	"10.00"	"10.75"	"9.15"	"16.99"	"17.78"	"16.45"
"1990-04-01"	"10.10"	"10.83"	"9.28"	"17.15"	"18.22"	"16.40"
"1990-05-01"	"10.07"	"10.82"	"9.24"	"17.38"	"18.22"	"16.78"
"1990-06-01"	"10.08"	"10.83"	"9.26"	"17.40"	"18.25"	"16.76"
"1990-07-01"	"10.10"	"10.87"	"9.24"	"17.36"	"18.33"	"16.59"
"1990-08-01"	"10.12"	"10.88"	"9.28"	"17.37"	"18.35"	"16.60"
"1990-09-01"	"10.09"	"10.80"	"9.31"	"17.43"	"18.41"	"16.66"
"1990-10-01"	"10.07"	"10.73"	"9.33"	"17.37"	"18.44"	"16.56"
"1990-11-01"	"10.03"	"10.68"	"9.30"	"17.45"	"18.45"	"16.69"
"1990-12-01"	"10.03"	"10.67"	"9.33"	"17.43"	"18.41"	"16.67"
"1991-01-01"	"10.02"	"10.69"	"9.27"	"17.46"	"18.33"	"16.76"
"1991-02-01"	"10.01"	"10.70"	"9.27"	"17.42"	"18.29"	"16.74"
"1991-03-01"	"10.03"	"10.71"	"9.28"	"17.28"	"18.30"	"16.49"
"1991-04-01"	"9.98"	"10.64"	"9.26"	"17.14"	"17.85"	"16.55"
"1991-05-01"	"9.97"	"10.61"	"9.27"	"17.05"	"18.10"	"16.22"
"1991-06-01"	"9.99"	"10.61"	"9.30"	"16.95"	"17.92"	"16.21"
"1991-07-01"	"9.97"	"10.57"	"9.30"	"17.09"	"18.07"	"16.34"
"1991-08-01"	"9.93"	"10.53"	"9.27"	"16.99"	"18.03"	"16.20"
"1991-09-01"	"9.92"	"10.52"	"9.25"	"16.85"	"17.97"	"15.98"
"1991-10-01"	"9.89"	"10.48"	"9.24"	"16.80"	"17.76"	"16.06"
"1991-11-01"	"9.85"	"10.42"	"9.22"	"16.69"	"17.58"	"15.98"
"1991-12-01"	"9.80"	"10.39"	"9.16"	"16.64"	"17.52"	"15.94"
"1992-01-01"	"9.76"	"10.33"	"9.14"	"16.59"	"17.46"	"15.91"
"1992-02-01"	"9.78"	"10.33"	"9.18"	"16.57"	"17.44"	"15.88"
"1992-03-01"	"9.74"	"10.27"	"9.15"	"16.55"	"17.32"	"15.93"
"1992-04-01"	"9.74"	"10.31"	"9.11"	"16.58"	"17.42"	"15.89"
"1992-05-01"	"9.70"	"10.30"	"9.06"	"16.38"	"17.06"	"15.84"
"1992-06-01"	"9.66"	"10.25"	"9.02"	"16.43"	"17.10"	"15.90"
"1992-07-01"	"9.65"	"10.21"	"9.04"	"16.35"	"16.90"	"15.90"
"1992-08-01"	"9.65"	"10.18"	"9.07"	"16.29"	"16.82"	"15.84"
"1992-09-01"	"9.62"	"10.17"	"9.02"	"16.30"	"16.68"	"15.98"
"1992-10-01"	"9.63"	"10.14"	"9.06"	"16.36"	"16.83"	"15.95"
"1992-11-01"	"9.64"	"10.14"	"9.08"	"16.28"	"16.81"	"15.84"
"1992-12-01"	"9.62"	"10.11"	"9.07"	"16.10"	"16.64"	"15.66"
"1993-01-01"	"9.59"	"10.08"	"9.05"	"16.17"	"16.82"	"15.62"
"1993-02-01"	"9.52"	"9.99"	"9.03"	"16.14"	"16.92"	"15.49"
"1993-03-01"	"9.49"	"9.92"	"9.02"	"16.21"	"17.08"	"15.50"
"1993-04-01"	"9.42"	"9.88"	"8.94"	"16.08"	"16.85"	"15.47"
"1993-05-01"	"9.47"	"9.91"	"8.99"	"16.16"	"16.89"	"15.57"
"1993-06-01"	"9.46"	"9.89"	"8.99"	"16.22"	"16.90"	"15.68"
"1993-07-01"	"9.44"	"9.87"	"8.96"	"16.06"	"16.60"	"15.63"
"1993-08-01"	"9.40"	"9.85"	"8.89"	"16.07"	"16.64"	"15.60"
"1993-09-01"	"9.38"	"9.82"	"8.90"	"15.99"	"16.74"	"15.40"
"1993-10-01"	"9.37"	"9.87"	"8.81"	"16.09"	"16.80"	"15.56"
"1993-11-01"	"9.35"	"9.91"	"8.73"	"16.06"	"16.80"	"15.52"
"1993-12-01"	"9.34"	"9.92"	"8.69"	"16.16"	"16.93"	"15.58"
"1994-01-01"	"9.34"	"9.90"	"8.72"	"16.21"	"16.90"	"15.72"
"1994-02-01"	"9.34"	"9.92"	"8.69"	"16.33"	"17.11"	"15.82"
"1994-03-01"	"9.48"	"10.18"	"8.72"	"16.31"	"17.00"	"15.84"
"1994-04-01"	"9.54"	"10.18"	"8.84"	"16.28"	"17.01"	"15.77"
"1994-05-01"	"9.54"	"10.21"	"8.80"	"16.24"	"17.11"	"15.61"
"1994-06-01"	"9.55"	"10.25"	"8.81"	"16.15"	"17.14"	"15.43"
"1994-07-01"	"9.55"	"10.25"	"8.80"	"16.15"	"17.34"	"15.28"
"1994-08-01"	"9.54"	"10.23"	"8.81"	"16.10"	"17.12"	"15.38"
"1994-09-01"	"9.60"	"10.30"	"8.84"	"16.13"	"17.06"	"15.46"
"1994-10-01"	"9.65"	"10.39"	"8.85"	"16.12"	"17.19"	"15.29"
"1994-11-01"	"9.69"	"10.43"	"8.88"	"16.19"	"17.40"	"15.28"
"1994-12-01"	"9.79"	"10.61"	"8.90"	"16.18"	"17.26"	"15.35"
"1995-01-01"	"9.87"	"10.74"	"8.95"	"16.07"	"17.17"	"15.20"
"1995-02-01"	"9.89"	"10.77"	"8.93"	"16.01"	"16.94"	"15.24"
"1995-03-01"	"9.80"	"10.55"	"8.96"	"15.90"	"16.84"	"15.15"
"1995-04-01"	"9.76"	"10.55"	"8.87"	"15.96"	"16.94"	"15.18"
"1995-05-01"	"9.73"	"10.50"	"8.87"	"15.92"	"16.81"	"15.22"
"1995-06-01"	"9.73"	"10.47"	"8.89"	"15.93"	"16.78"	"15.26"
"1995-07-01"	"9.74"	"10.52"	"8.87"	"15.99"	"16.71"	"15.44"
"1995-08-01"	"9.81"	"10.64"	"8.87"	"15.96"	"16.80"	"15.31"
"1995-09-01"	"9.78"	"10.62"	"8.83"	"15.90"	"16.77"	"15.23"
"1995-10-01"	"9.77"	"10.58"	"8.87"	"15.72"	"16.49"	"15.16"
"1995-11-01"	"9.79"	"10.63"	"8.86"	"15.76"	"16.44"	"15.26"
"1995-12-01"	"9.72"	"10.53"	"8.84"	"15.77"	"16.52"	"15.22"
"1996-01-01"	"9.68"	"10.40"	"8.86"	"15.72"	"16.57"	"15.15"
"1996-02-01"	"9.73"	"10.46"	"8.90"	"15.65"	"16.42"	"15.13"
"1996-03-01"	"9.78"	"10.54"	"8.89"	"15.82"	"16.43"	"15.39"
"1996-04-01"	"9.76"	"10.53"	"8.86"	"15.78"	"16.35"	"15.39"
"1996-05-01"	"9.73"	"10.50"	"8.83"	"15.73"	"16.24"	"15.38"
"1996-06-01"	"9.74"	"10.55"	"8.79"	"15.65"	"16.12"	"15.32"
"1996-07-01"	"9.72"	"10.50"	"8.79"	"15.60"	"16.10"	"15.25"
"1996-08-01"	"9.69"	"10.45"	"8.79"	"15.91"	"16.25"	"15.67"
"1996-09-01"	"9.76"	"10.43"	"8.97"	"15.94"	"16.31"	"15.67"
"1996-10-01"	"9.73"	"10.40"	"8.93"	"15.93"	"16.35"	"15.67"
"1996-11-01"	"9.73"	"10.35"	"9.00"	"15.83"	"16.25"	"15.55"
"1996-12-01"	"9.77"	"10.39"	"9.03"	"15.83"	"16.24"	"15.57"
