"Date"	"Unemployment rate"	"Underemployment rate"
"1994-12-01"	"5.3"	"10.2"
"1995-01-01"	"5.3"	"10.4"
"1995-02-01"	"5.5"	"10.6"
"1995-03-01"	"5.6"	"10.6"
"1995-04-01"	"5.7"	"10.8"
"1995-05-01"	"5.8"	"10.9"
"1995-06-01"	"5.8"	"10.8"
"1995-07-01"	"5.6"	"10.7"
"1995-08-01"	"5.6"	"10.8"
"1995-09-01"	"5.7"	"10.9"
"1995-10-01"	"5.7"	"11.0"
"1995-11-01"	"5.8"	"11.1"
"1995-12-01"	"5.8"	"11.0"
"1996-01-01"	"5.8"	"10.8"
"1996-02-01"	"5.7"	"10.5"
"1996-03-01"	"5.9"	"10.6"
"1996-04-01"	"5.7"	"10.3"
"1996-05-01"	"5.8"	"10.3"
"1996-06-01"	"6.0"	"10.6"
"1996-07-01"	"6.1"	"10.8"
"1996-08-01"	"6.1"	"10.8"
"1996-09-01"	"6.0"	"10.6"
"1996-10-01"	"5.8"	"10.4"
"1996-11-01"	"5.7"	"10.2"
"1996-12-01"	"5.5"	"9.9"
"1997-01-01"	"5.4"	"9.8"
"1997-02-01"	"5.4"	"9.6"
"1997-03-01"	"5.2"	"9.5"
"1997-04-01"	"5.1"	"9.5"
"1997-05-01"	"4.9"	"9.2"
"1997-06-01"	"4.6"	"8.7"
"1997-07-01"	"4.2"	"8.2"
"1997-08-01"	"4.2"	"8.1"
"1997-09-01"	"4.0"	"7.8"
"1997-10-01"	"3.9"	"7.7"
"1997-11-01"	"3.7"	"7.5"
"1997-12-01"	"3.8"	"7.8"
"1998-01-01"	"3.7"	"7.7"
"1998-02-01"	"3.6"	"7.6"
"1998-03-01"	"3.4"	"7.5"
"1998-04-01"	"3.4"	"7.6"
"1998-05-01"	"3.6"	"7.8"
"1998-06-01"	"3.7"	"7.9"
"1998-07-01"	"4.0"	"8.1"
"1998-08-01"	"4.0"	"8.0"
"1998-09-01"	"4.2"	"8.1"
"1998-10-01"	"4.2"	"7.9"
"1998-11-01"	"4.4"	"7.9"
"1998-12-01"	"4.4"	"7.6"
"1999-01-01"	"4.3"	"7.5"
"1999-02-01"	"4.4"	"7.6"
"1999-03-01"	"4.5"	"7.4"
"1999-04-01"	"4.5"	"7.1"
"1999-05-01"	"4.5"	"7.1"
"1999-06-01"	"4.7"	"7.1"
"1999-07-01"	"4.8"	"7.3"
"1999-08-01"	"4.7"	"7.3"
"1999-09-01"	"4.7"	"7.2"
"1999-10-01"	"5.0"	"7.4"
"1999-11-01"	"5.0"	"7.5"
"1999-12-01"	"5.0"	"7.6"
"2000-01-01"	"5.1"	"7.7"
"2000-02-01"	"5.2"	"7.7"
"2000-03-01"	"5.4"	"7.9"
"2000-04-01"	"5.4"	"8.0"
"2000-05-01"	"5.4"	"8.2"
"2000-06-01"	"5.3"	"8.1"
"2000-07-01"	"5.0"	"7.9"
"2000-08-01"	"4.9"	"7.7"
"2000-09-01"	"4.7"	"7.5"
"2000-10-01"	"4.5"	"7.4"
"2000-11-01"	"4.4"	"7.3"
"2000-12-01"	"4.3"	"7.1"
"2001-01-01"	"4.3"	"7.1"
"2001-02-01"	"4.2"	"7.1"
"2001-03-01"	"4.1"	"7.1"
"2001-04-01"	"4.1"	"7.0"
"2001-05-01"	"4.1"	"7.0"
"2001-06-01"	"4.2"	"7.2"
"2001-07-01"	"4.3"	"7.3"
"2001-08-01"	"4.9"	"8.1"
"2001-09-01"	"5.4"	"8.7"
"2001-10-01"	"5.5"	"9.0"
"2001-11-01"	"5.8"	"9.3"
"2001-12-01"	"5.9"	"9.4"
"2002-01-01"	"5.9"	"9.5"
"2002-02-01"	"6.1"	"9.9"
"2002-03-01"	"6.2"	"10.0"
"2002-04-01"	"6.3"	"10.2"
"2002-05-01"	"6.3"	"10.3"
"2002-06-01"	"6.2"	"10.2"
"2002-07-01"	"6.3"	"10.3"
"2002-08-01"	"6.1"	"9.8"
"2002-09-01"	"5.8"	"9.6"
"2002-10-01"	"5.9"	"9.4"
"2002-11-01"	"5.7"	"9.2"
"2002-12-01"	"5.7"	"9.3"
"2003-01-01"	"6.0"	"9.6"
