event_name,total_sales,month,url,location,year,date,ID
FINE AND RARE WINES (conducted with the retailer Zachys),"2,110,492",Jan,http://www.christies.com/FINE-AND-RARE-WINES-5688.aspx,"New York, Park Avenue",1998,31,8850
OLD MASTER DRAWINGS,"3,756,820",Jan,http://www.christies.com/OLD-MASTER-DRAWINGS-5542.aspx,"New York, Park Avenue",1998,30,8812
BRITISH & CONTINENTAL WATERCOLOURS & DRAWINGS,"109,377",Jan,http://www.christies.com/BRITISH-and-CONTINENTAL-WATERCOLOURS-7310.aspx,"London, South Kensington",1998,29,7876
BRITISH AND CONTINENTAL CERAMICS,"96,249",Jan,http://www.christies.com/BRITISH-AND-CONTINENTAL-CERAMICS-7301.aspx,"London, South Kensington",1998,29,7865
CAMERAS AND OPTICAL TOYS,"205,287",Jan,http://www.christies.com/CAMERAS-AND-OPTICAL-TOYS-7638.aspx,"London, South Kensington",1998,29,7874
Important Old Master Paintings,"21,723,325",Jan,http://www.christies.com/Important-Old-Master-Paintings-5541.aspx,"New York, Park Avenue",1998,29,8818
MEDICAL INSTRUMENTS,"111,585",Jan,http://www.christies.com/MEDICAL-INSTRUMENTS-7309.aspx,"London, South Kensington",1998,29,7875
"CARPETS, DECORATIVE OBJECTS AND FURNITURE","150,719",Jan,http://www.christies.com/CARPETS-DECORATIVE-OBJECTS-AND-7306.aspx,"London, South Kensington",1998,28,7871
"Decorative, Sporting, Topographical & Modern Prints","104,450",Jan,http://www.christies.com/Decorative-Sporting-Topographical-and-7307.aspx,"London, South Kensington",1998,28,7872
"Important European Works of Art, Furniture & Tapestries","3,252,876",Jan,http://www.christies.com/Important-European-Works-of-5540.aspx,"New York, Park Avenue",1998,28,8824
"COLLECTION OF LOUIS VUITTON LUGGAGE, THE PROPERTY OF A LADY","55,614",Jan,http://www.christies.com/COLLECTION-OF-LOUIS-VUITTON-7637.aspx,"London, South Kensington",1998,27,7938
COSTUME AND TEXTILES,"99,107",Jan,http://www.christies.com/COSTUME-AND-TEXTILES-7636.aspx,"London, South Kensington",1998,27,7869
JEWELLERY,"107,192",Jan,http://www.christies.com/JEWELLERY-7305.aspx,"London, South Kensington",1998,27,7870
ORIENTAL WORKS OF ART,"114,701",Jan,http://www.christies.com/ORIENTAL-WORKS-OF-ART-7635.aspx,"London, South Kensington",1998,22,7868
BOUGHTON MONCHELSEA PLACE,"1,172,614",Jan,http://www.christies.com/BOUGHTON-MONCHELSEA-PLACE-7304.aspx,"London, South Kensington",1998,21,7900
"Pictures, Watercolours and Drawings","1,138,220",Jan,http://www.christies.com/Pictures-Watercolours-and-Drawings-7799.aspx,Amsterdam,1998,21,2361
The British Interior,"3,485,515",Jan,http://www.christies.com/The-British-Interior-5539.aspx,"New York, Park Avenue",1998,21,8806
Furniture and Decorative Arts Including Ceramics,"873,770",Jan,http://www.christies.com/Furniture-and-Decorative-Arts-5537.aspx,"New York, East",1998,20,8073
SILVER AND PLATE,"95,657",Jan,http://www.christies.com/SILVER-AND-PLATE-7303.aspx,"London, South Kensington",1998,20,7867
HIGHLY IMPORTANT AMERICANA,"7,728,785",Jan,http://www.christies.com/HIGHLY-IMPORTANT-AMERICANA-5535.aspx,"New York, Park Avenue",1998,16,8840
THE COLLECTION OF MR. & MRS. BERTRAM D. COLEMAN,"2,496,333",Jan,http://www.christies.com/THE-COLLECTION-OF-MR-5536.aspx,"New York, Park Avenue",1998,16,8842
"THE HOLLINGSWORTH FAMILY HIGHCHEST, DRESSING TABLE AND CHAIR","2,972,500",Jan,http://www.christies.com/THE-HOLLINGSWORTH-FAMILY-HIGHCHEST--5666.aspx,"New York, Park Avenue",1998,16,8882
BRITISH AND CONTINENTAL PICTURES,"88,199",Jan,http://www.christies.com/BRITISH-AND-CONTINENTAL-PICTURES-7300.aspx,"London, South Kensington",1998,15,7861
"CARPETS, DECORATIVE OBJECTS AND FURNITURE","167,829",Jan,http://www.christies.com/CARPETS-DECORATIVE-OBJECTS-AND-7299.aspx,"London, South Kensington",1998,14,7864
JEWELLERY,"117,697",Jan,http://www.christies.com/JEWELLERY-7298.aspx,"London, South Kensington",1998,13,7863
Oriental Works of Art,"74,905",Jan,http://www.christies.com/Oriental-Works-of-Art-7634.aspx,"London, South Kensington",1998,8,7862
"CARPETS, DECORATIVE OBJECTS AND FURNITURE","133,912",Jan,http://www.christies.com/CARPETS-DECORATIVE-OBJECTS-AND-7297.aspx,"London, South Kensington",1998,7,7860
Important Old Master Paintings,"34,957,100",Jan,http://www.christies.com/Important-Old-Master-Paintings-8812.aspx,"New York, Park Avenue",1999,29,9042
